取引日,出金金額（円）,入金金額（円）,海外出金金額,通貨,変換レート（円）,利用国,取引内容,取引先,取引方法,支払い区分,利用者,取引番号
2025/05/16 18:16:45,-,5,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04709357809817927680
2025/05/16 12:58:44,-,"3,000",-,-,-,-,受け取った金額,ジユンコ,PayPay残高,-,-,01998045617386774550
2025/05/14 10:43:29,-,"1,000",-,-,-,-,ポイント、残高の獲得,Yahoo!ショッピング,PayPayポイント,-,-,lp-102895974642327552-c_26a52d78-601b-440a-a8be-7383cc51a005_sppf
2025/05/12 12:39:32,700,-,-,-,-,-,送った金額,まつもと,PayPay残高,-,-,01995067040386637847
2025/05/11 21:49:46,-,6,-,-,-,-,ポイント、残高の獲得,富士薬品グループ,PayPayポイント,-,-,04705756737436131331
2025/05/11 21:49:46,"1,309",-,-,-,-,-,支払い,富士薬品グループ - ドラッグセイムス愛甲石田店,"PayPayポイント (2円), PayPay残高 (1,307円)",-,-,04705756737436131331
2025/05/11 20:34:39,-,"2,000",-,-,-,-,受け取った金額,ジユンコ,PayPay残高,-,-,01994569751893295111
2025/05/10 21:47:55,"5,800",-,-,-,-,-,支払い,富士薬品グループ - ドラッグセイムス愛甲石田店,"PayPayポイント (7円), PayPay残高 (5,793円)",-,-,04705013613605740548
2025/05/10 21:47:54,-,28,-,-,-,-,ポイント、残高の獲得,富士薬品グループ,PayPayポイント,-,-,04705013613605740548
2025/05/10 18:15:42,-,"5,000",-,-,-,-,受け取った金額,ジユンコ,PayPay残高,-,-,01993755967259885568
2025/05/08 12:58:59,-,222,-,-,-,-,受け取った金額,S,PayPay残高,-,-,01992108383444123675
2025/05/08 07:06:50,-,"1,000",-,-,-,-,受け取った金額,ジユンコ,PayPay残高,-,-,01991926895306334208
2025/05/07 11:11:11,"2,800",-,-,-,-,-,支払い,Appleサービス,PayPay残高,-,-,04702458941287473155
2025/05/07 11:11:11,-,14,-,-,-,-,ポイント、残高の獲得,Appleサービス,PayPayポイント,-,-,04702458941287473155
2025/05/06 21:28:00,50,-,-,-,-,-,送った金額,けい,PayPay残高,-,-,01990886396528934917
2025/05/05 18:19:43,241,-,-,-,-,-,支払い,ファミリーマート - お台場東京ビーチ,PayPay残高,-,-,04701195464988352515
