取引日,出金金額（円）,入金金額（円）,海外出金金額,通貨,変換レート（円）,利用国,取引内容,取引先,取引方法,支払い区分,利用者,取引番号
2026/05/30 21:44:38,"3,431",-,-,-,-,-,支払い,富士薬品グループ - ドラッグセイムス愛甲石田店,PayPay残高,-,-,04990747514351288320
2026/05/30 21:44:38,-,17,-,-,-,-,ポイント、残高の獲得,富士薬品グループ,PayPayポイント,-,-,04990747514351288320
2026/05/30 21:40:54,-,"4,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02279597302252208139
2026/05/29 21:06:28,"3,329",-,-,-,-,-,支払い,バーミヤン - バーミヤン藤沢駅南店,PayPay残高,-,-,04989985673053102080
2026/05/29 21:06:28,-,16,-,-,-,-,ポイント、残高の獲得,バーミヤン,PayPayポイント,-,-,04989985673053102080
2026/05/29 21:05:47,-,"10,000",-,-,-,-,チャージ,PayPay,横浜銀行 *****13,-,-,02278837032912871457
2026/05/29 17:54:11,550,-,-,-,-,-,支払い,LIERRE - リエール藤沢,PayPay残高,-,-,04989886570977476610
2026/05/29 12:49:44,"1,067",-,-,-,-,-,支払い,セブン-イレブン - 片柳学園,PayPay残高,-,-,04989729658641760256
2026/05/29 12:49:44,-,5,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04989729658641760256
2026/05/29 07:09:18,-,"1,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02278405921274527746
2026/05/28 19:01:44,-,8,-,-,-,-,ポイント、残高の獲得,Amazon.co.jp,PayPayポイント,-,-,04989179207044276224
2026/05/28 19:01:43,"1,650",-,-,-,-,-,支払い,Amazon.co.jp,PayPay残高,-,-,04989179207044276224
2026/05/28 16:40:42,"11,301",-,-,-,-,-,支払い,ＬｏｅーＣＥＬＬＡＲー - ＬｏｅーＣＥＬＬＡＲー,PayPay残高,-,-,04989106527607054345
2026/05/28 16:40:42,-,56,-,-,-,-,ポイント、残高の獲得,ＬｏｅーＣＥＬＬＡＲー,PayPayポイント,-,-,04989106527607054345
2026/05/28 16:39:39,-,"10,000",-,-,-,-,チャージ,PayPay,横浜銀行 *****13,-,-,02277957707077615617
2026/05/28 15:14:23,-,"5,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02277913752383176712
2026/05/28 13:13:43,750,-,-,-,-,-,支払い,Baran - 移動販売1,PayPay残高,-,-,04988999840619806726
2026/05/28 13:13:42,-,150,-,-,-,-,ポイント、残高の獲得,Baran,PayPayポイント,-,-,04988999840619806726
2026/05/28 11:21:52,180,-,-,-,-,-,支払い,ヤマザキショップ - Yショップ東京工科大学店,PayPay残高,-,-,04988942193568227329
2026/05/28 11:20:29,149,-,-,-,-,-,支払い,ヤマザキショップ - Yショップ東京工科大学店,PayPay残高,-,-,04988941489193852928
2026/05/26 18:51:52,-,17,-,-,-,-,ポイント、残高の獲得,Amazon.co.jp,PayPayポイント,-,-,04987689781104492548
2026/05/26 18:51:51,"3,500",-,-,-,-,-,支払い,Amazon.co.jp,PayPay残高,-,-,04987689781104492548
2026/05/26 18:51:09,-,"5,000",-,-,-,-,チャージ,PayPay,横浜銀行 *****13,-,-,02276541140964417545
2026/05/24 22:44:47,160,-,-,-,-,-,支払い,Google,PayPay残高,-,-,04986325484740427777
2026/05/23 21:42:27,"2,782",-,-,-,-,-,支払い,富士薬品グループ - ドラッグセイムス愛甲石田店,PayPay残高,-,-,04985551196627050496
2026/05/23 21:42:27,-,13,-,-,-,-,ポイント、残高の獲得,富士薬品グループ,PayPayポイント,-,-,04985551196627050496
2026/05/23 20:12:52,-,"3,000",-,-,-,JP,受け取った金額,ジユンコ,PayPay残高,-,-,02274356737777459209
2026/05/22 13:58:42,"1,563",-,-,-,-,-,支払い,セブン-イレブン - 伊勢原石田,PayPay残高,-,-,04984570002758377476
2026/05/22 13:58:41,-,7,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04984570002758377476
